Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
010-07-11-06,133,Barometer,Vaisala, PTB210 ,Z0320001,500 - 1100,hPa,V,,
010-07-11-06,133,Anemometer ,Gill, Windsonic ,061630,0-60,m/s,V,,
010-07-11-06,133,Conductivity,Aanderaa,3919B,36,0 - 75,mmho/cm,V,,
010-07-11-06,133,Argos,Seimac, Wildcat ,18199,N/A,N/A,V,,
010-07-11-06,133,GPS,Garmin ,16 ,N/A,N/A,N/A,V,,
010-07-11-06,133,Modem,Qualcomm, GSP 1620 ,74024193,N/A,N/A,V,,
010-10-07-05,132,Current Sensor,Aanderaa,DCS 3900R,508,0-300,cm/s,B,,
010-10-07-05,132,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1528,(-)5 - (+)35,Deg.C,B,,
010-10-07-05,132,Anemometer,Gill,Windsonic,34944,N/A,N/A,B,,
010-10-07-05,132,Barometer,Vaisala,PTB210,Y1010001,N/A,N/A,B,,
010-10-07-05,132,Compass,Honeywell,HMR3300,N/A,N/A,N/A,B,,
010-10-07-05,132,Temperature/Humidity,Rotronic,MP101A,87882,(-)30 - (+)70,N/A,B,,
010-12-14-07,135,Temperature/Humidity,Rotronic, MP101A ,133721,0-100,%,B,,
010-12-14-07,135,Current Sensor ,Anderaa, DCS 3820R ,508,0-300,cm/s,B,,
010-12-14-07,135,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,B,,
010-12-14-07,135,Temperature/Humidity,Rotronic, MP101A ,133721,(-)30 - (+)70,deg. C,B,,
010-12-14-07,135,Barometer,Vaisala, PTB210 ,A4930037,500 - 1100,hPa,B,,
010-12-14-07,135,Anemometer ,Gill, Windsonic ,061630,0-60,m/s,B,,
010-12-14-07,135,Conductivity,Aanderaa,3919B,37,0 - 75,mmho/cm,B,,
010-12-14-07,135,Argos,Seimac, Wildcat ,18199,N/A,N/A,B,,
010-12-14-07,135,GPS,Garmin ,16 ,N/A,N/A,N/A,B,,
010-12-14-07,135,Modem,Qualcomm, GSP 1620 ,74046B0E,N/A,N/A,B,,
0109-02-13-03,3,Current Sensor,Aanderaa,DCS 3900R,31,0 - 300,cm/sec,F,,
0109-02-23-06,6,Current Sensor,Aanderaa,DCS 3900R,112,0 - 300,cm/sec,W,,
0109-02-23-06,6,Modem,Qualcomm,Globalstar,7403F4EF,N/A,N/A,W,,
0109-05-03-04,4,Current Sensor,Aanderaa,DCS 3900R,278,0 - 300,cm/sec,W,,
0109-05-03-04,4,Modem,Qualcomm,Globalstar,7403F4EF,N/A,N/A,W,,
0109-10-02-06,7,Current Sensor,Aanderaa,DCS 3900R,112,0 - 300,cm/sec,R,,
0109-10-26-04,5,Current Sensor,Aanderaa,DCS 3900R,278,0 - 300,cm/sec,B,,
0109-10-26-04,5,Modem,Qualcomm,Globalstar,7403F4FE,N/A,N/A,B,,
0109-11-01-02,2,Current Sensor,Aanderaa,DCS 3900R,31,0 - 300,cm/sec,W,,
0110-04-18-07,20,Current Sensor,Aanderaa,DCS 3900R,63,0 - 300,cm/sec,R,,
0110-04-18-07,20,Modem,Qualcomm,GSP 1620,740408BD,N/A,N/A,R,,
0110-07-02-02,16,Current Sensor,Aanderaa,DCS 3900R,19,0 - 300,cm/sec,R,,
0110-07-24-03,17,Current Sensor,Aanderaa,DCS 3900R,93,0 - 300,cm/sec,W,,
0110-07-27-06,19,Current Sensor,Aanderaa,DCS 3900R,63,0 - 300,cm/sec,W,,
0110-07-27-06,19,Modem,Qualcomm,GSP 1620,7403F4F5,N/A,N/A,W,,
0110-08-03-10,22,Current Sensor,Aanderaa,DCS 4100R,67,0 - 300,cm/sec,W,,
0110-08-03-10,22,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,8059,(-)5 - (+)35,Deg.C,W,,
0110-08-03-10,22,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,8059,0 - 70,mS/cm,W,,
0110-08-03-10,22,Modem ,Qualcomm,Global Star,740408BD,N/A,N/A,W,,
0110-10-05-05,18,Current Sensor,Aanderaa,DCS 3820R,506,0 - 300,cm/sec,D,,
0110-10-05-05,18,Modem,Qualcomm,GSP 1620,7403F4F5,N/A,N/A,D,,
0110-11-13-08,21,Current Sensor,Aanderaa, DCS 3900R,63,0 - 300,cm/sec,D,,
0110-11-13-08,21,Modem,Qualcomm,GSP 1620,740408BD,N/A,N/A,D,,
0111-01-15-04,10,Current Sensor,Aanderaa,DCS 3900R,289,0 - 300,cm/sec,R,,
0111-01-15-04,10,Modem,Motorola,AT,DF583005,N/A,N/A,R,,
0111-02-14-05,12,Current Sensor,Aanderaa,DCS 3900R,366,0 - 300,cm/sec,M,,
0111-02-14-05,12,Modem,Qualcomm,GSP 1620,7403F4F4,N/A,N/A,M,,
0111-03-26-07,15,Current Sensor,Aanderaa,DCS 4100R,63,0-300,cm/s,missing,,
0111-03-26-07,15,Modem,Qualcomm,Globalstar,7403F4F4,N/A,N/A,missing,,
0111-04-13-04,11,Current Sensor,Aanderaa,DCS 3900R,271,0 - 300,cm/sec,R,,
0111-04-13-04,11,Modem,Qualcomm,GSP 1620,7403F4F4,N/A,N/A,R,,
0111-04-20-06,14,Current Sensor,Aanderaa,DCS 4100R,67,0 - 300,cm/sec,D,,
0111-04-20-06,14,Modem,Qualcomm,GSP 1620,7403F4F4,N/A,N/A,D,,
0111-05-03-02,8,Current Sensor,Aanderaa,DCS 3900R,73,0 - 300,cm/sec,W,,
0111-07-03-03,9,Current Sensor,Aanderaa,DCS 3900R,73,0 - 300,cm/sec,D,,
0111-07-03-03,9,Modem,Qualcomm,Globalstar,74022FBB,N/A,N/A,D,,
0111-10-18-05,13,Current Sensor,Aanderaa,DCS 4100R,67,0 - 300,cm/sec,W,,
0111-10-18-05,13,Modem,Qualcomm,GSP 1620,7403F4F4,N/A,N/A,W,,
012-10-11-09,136,Temperature/Humidity,Rotronic, MP101A ,115718,0-100,%,N,,
012-10-11-09,136,Current Sensor ,Anderaa, DCS 3900R ,114,0-300,cm/s,N,,
012-10-11-09,136,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,N,,
012-10-11-09,136,Temperature/Humidity,Rotronic, MP101A ,115718,(-)30 - (+)70,deg. C,N,,
012-10-11-09,136,Barometer,Vaisala, PTB210 ,Z0320002,500 - 1100,hPa,N,,
012-10-11-09,136,Anemometer ,Gill, Windsonic ,052244,0-60,m/s,N,,
012-10-11-09,136,Conductivity,Aanderaa,3919B,696,0 - 75,mmho/cm,N,,
012-10-11-09,136,Argos,Seimac, Wildcat ,18290,N/A,N/A,N,,
012-10-11-09,136,GPS,Garmin ,16 ,33344700,N/A,N/A,N,,
012-10-11-09,136,Modem,Qualcomm, GSP 1620 ,74046B1D,N/A,N/A,N,,
012-11-24-10,137,Temperature/Humidity,Rotronic, MP101A ,155959,0-100,%,V,,
012-11-24-10,137,Current Sensor ,Anderaa, DCS 4100R ,114,0-300,cm/s,V,,
012-11-24-10,137,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,V,,
012-11-24-10,137,Temperature/Humidity,Rotronic, MP101A ,155959,(-)30 - (+)70,deg. C,V,,
012-11-24-10,137,Barometer,Vaisala, PTB210 ,Z0320002,500 - 1100,hPa,V,,
012-11-24-10,137,Anemometer ,Gill, Windsonic ,052244,0-60,m/s,V,,
012-11-24-10,137,Conductivity,Aanderaa,3919B,696,0 - 75,mmho/cm,V,,
012-11-24-10,137,Argos,Seimac, Wildcat ,18290,N/A,N/A,V,,
012-11-24-10,137,GPS,Garmin ,16 ,N/A,N/A,N/A,V,,
012-11-24-10,137,Modem,Qualcomm, GSP 1620 ,74046B1D,N/A,N/A,V,,
014-01-31-02,138,Current Sensor,Aanderaa,DCS3900R,43,0-300,cm/s,missing,,
014-05-07-02,139,Current Sensor,Aanderaa,DCS3900R,43,0-300,cm/s,J,,
014-05-07-02,139,Compass,Honeywell,HMR3300,unknown,0-360,d Mag.,J,,
014-05-07-02,139,Air Temperature,Rotronic,MP101A,32233,(-)40 - (+)60,deg. C,J,,
014-05-07-02,139,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1529,(-)5 - (+)35,Deg.C,J,,
014-05-07-02,139,Barometer,Vaisala,PTB100A,W3330005,500 - 1100,hPa,J,,
014-05-07-02,139,Anemometer,Gill,Windsonic,191,0-60,m/s,J,,
014-05-07-02,139,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1529,0 - 70,mS/cm,J,,
014-11-14-03,140,Temperature/Humidity,Rotronic,MP101A,74644,0-100,%,missing,,
014-11-14-03,140,Current Sensor,Aanderaa,DCS3900R,224,0-300,cm/s,missing,,
014-11-14-03,140,Compass ,Honeywell,HMR3300,unknown,0-360,d Mag.,missing,,
014-11-14-03,140,Temperature/Humidity,Rotronic,MP101A,74644,(-)30 - (+)70,deg. C,missing,,
014-11-14-03,140,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1618-1619,(-)5 - (+)35,Deg.C,missing,,
014-11-14-03,140,Barometer,Vaisala,PTB210,Y3350002,500 - 1100,hPa,missing,,
014-11-14-03,140,Anemometer,Gill,Windsonic,820,0-60,m/s,missing,,
014-11-14-03,140,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1618-1619,0 - 70,mS/cm,missing,,
015-04-12-02,141,Current Sensor,Aanderaa,DCS 3900R,70,0-300,cm/s,V,,
016-02-05-04,143,Temperature/Humidity,Rotronic,MP101A,74645,0-100,%,V,,
016-02-05-04,143,Current Sensor,Anderaa, DCS 3900R ,276,0-300,cm/s,V,,
016-02-05-04,143,Compass ,Honeywell,HMR3300,unknown,0-360,d Mag.,V,,
016-02-05-04,143,Temperature/Humidity,Rotronic,MP101A,74645,(-)30 - (+)70,deg. C,V,,
016-02-05-04,143,Barometer,Vaisala,PTB210,Y3230006,500 - 1100,hPa,V,,
016-02-05-04,143,Anemometer ,Gill, Windsonic ,984,0-60,m/s,V,,
016-12-12-02,142,Temperature/Humidity,Rotronic,MP101A,86190,0-100,%,N,,
016-12-12-02,142,Current Sensor ,Aanderaa, DCS 3900R ,221,0 - 300,cm/s,N,,
016-12-12-02,142,Temperature/Humidity,Rotronic,MP101A,86190,(-)30 - (+)70,deg. C,N,,
017-01-03-03,144,Temperature/Humidity,Rotronic, MP101A ,74644,0-100,%,K,,
017-01-03-03,144,Conductivity,Aanderaa,  DCS 3900R ,44,0-300,cm/s,K,,
017-01-03-03,144,Compass,Honeywell,HMR3300,unknown,0-360,d Mag.,K,,
017-01-03-03,144,Temperature/Humidity,Rotronic, MP101A ,74644,(-)30 - (+)70,deg. C,K,,
017-01-03-03,144,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1781,(-)5 - (+)35,Deg.C,K,,
017-01-03-03,144,Barometer,Vaisala,PTB210,W50020011,500 - 1100,hPa,K,,
017-01-03-03,144,Anemometer ,Gill, Windsonic ,822,0-60,m/s,K,,
018-04-21-11,163,Temperature/Humidity,Rotronic, MP101A ,123718,0-100,%,J,,
018-04-21-11,163,Current Sensor ,Aanderaa, DCS 4100R ,69,0-350,cm/s,J,,
018-04-21-11,163,Temperature/Humidity,Rotronic, MP101A ,123718,(-)30 - (+)70,deg. C,J,,
018-04-21-11,163,Barometer,Vaisala,PTB210,A4930038,500 - 1100,hPa,J,,
018-04-21-11,163,Anemometer,Gill,Windsonic,32203,0-60,m/s,J,,
018-04-21-11,163,Conductivity,Aanderaa,3919,347,0 - 75,mmho/cm,J,,
018-04-21-11,163,Argos,Seimac, Wildcat ,18150,N/A,N/A,J,,
018-04-21-11,163,Modem,Qualcomm, GSP 1620 ,7446B5B,N/A,N/A,J,,
018-06-02-10,148,Temperature/Humidity,Rotronic, MP101A ,123718,0-100,%,K,,
018-06-02-10,148,Current Sensor ,Aanderaa,  DCS 3900R ,69,0-300,cm/s,K,,
018-06-02-10,148,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,K,,
018-06-02-10,148,Temperature/Humidity,Rotronic, MP101A ,123718,(-)30 - (+)70,deg. C,K,,
018-06-02-10,148,Barometer,Vaisala, PTB210 ,A4930038,500 - 1100,hPa,K,,
018-06-02-10,148,Anemometer ,Gill, Windsonic ,032203,0-60,m/s,K,,
018-06-02-10,148,Conductivity,Aanderaa,3919B,347,0 - 75,mmho/cm,K,,
018-06-02-10,148,Argos,Seimac, Wildcat ,18150,N/A,N/A,K,,
018-06-02-10,148,GPS,Garmin,16 ,N/A,N/A,N/A,K,,
018-06-02-10,148,Modem,Qualcomm, GSP 1620 ,74046B33,N/A,N/A,K,,
018-08-06-08,146,Temperature/Humidity,Rotronic, MP101A ,142057,0-100,%,K,,
018-08-06-08,146,Current Sensor ,Aanderaa, DCS 3900R ,216,0-300,cm/s,K,,
018-08-06-08,146,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,K,,
018-08-06-08,146,Temperature/Humidity,Rotronic, MP101A ,142057,(-)30 - (+)70,deg. C,K,,
018-08-06-08,146,Barometer,Vaisala, PTB210 ,B3040004,500 - 1100,hPa,K,,
018-08-06-08,146,Anemometer ,Gill, Windsonic ,041840,0-60,m/s,K,,
018-08-06-08,146,Conductivity,Aanderaa,3919B,696,0 - 75,mmho/cm,K,,
018-08-06-08,146,Argos,Seimac, Wildcat ,18150,N/A,N/A,K,,
018-08-06-08,146,GPS,Garmin ,16 ,N/A,N/A,N/A,K,,
018-08-06-08,146,Modem,Qualcomm, GSP 1620 ,74046B01,N/A,N/A,K,,
018-08-07-09,147,Temperature/Humidity,Rotronic, MP101A ,142057,0-100,%,K,,
018-08-07-09,147,Current Sensor ,Aanderaa, DCS 3900R ,216,0-300,cm/s,K,,
018-08-07-09,147,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,K,,
018-08-07-09,147,Temperature/Humidity,Rotronic, MP101A ,142057,(-)30 - (+)70,deg. C,K,,
018-08-07-09,147,Barometer,Vaisala, PTB210 ,B3040004,500 - 1100,hPa,K,,
018-08-07-09,147,Anemometer ,Gill, Windsonic ,071338,0-60,m/s,K,,
018-08-07-09,147,Conductivity,Aanderaa,3919B,696,0 - 75,mmho/cm,K,,
018-08-07-09,147,Argos,Seimac, Wildcat ,18150,N/A,N/A,K,,
018-08-07-09,147,GPS,Garmin,16 ,N/A,N/A,N/A,K,,
018-08-07-09,147,Modem,Qualcomm, GSP 1620 ,74046B01,N/A,N/A,K,,
018-09-12-07,145,Temperature/Humidity,Rotronic, MP101A ,123720,0-100,%,K,,
018-09-12-07,145,Current Sensor ,Aanderaa,  DCS 3900R ,216,0-300,cm/s,K,,
018-09-12-07,145,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,K,,
018-09-12-07,145,Temperature/Humidity,Rotronic, MP101A ,123720,(-)30 - (+)70,deg. C,K,,
018-09-12-07,145,Barometer,Vaisala, PTB210 ,B3040004,500 - 1100,hPa,K,,
018-09-12-07,145,Anemometer ,Gill, Windsonic ,41840,0-60,m/s,K,,
018-09-12-07,145,Conductivity,Aanderaa,3919B,165,0 - 75,mmho/cm,K,,
018-09-12-07,145,Argos,Seimac, Wildcat ,18150,N/A,N/A,K,,
018-09-12-07,145,GPS,Garmin ,16 ,N/A,N/A,N/A,K,,
018-09-12-07,145,Modem,Qualcomm, GSP 1620 ,74040899,N/A,N/A,K,,
019-09-07-09,149,Temperature/Humidity,Rotronic, MP101A ,60428382,0-100,%,B,,
019-09-07-09,149,Current Sensor ,Aanderaa, DCS 4100R ,374,0-300,cm/s,B,,
019-09-07-09,149,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,B,,
019-09-07-09,149,Temperature/Humidity,Rotronic, MP101A ,60428382,(-)30 - (+)70,deg. C,B,,
019-09-07-09,149,Barometer,Vaisala, PTB210 ,B3040003,500 - 1100,hPa,B,,
019-09-07-09,149,Anemometer ,Gill, Windsonic ,052540,0-60,m/s,B,,
019-09-07-09,149,Conductivity,Aanderaa,3919B,165,0 - 75,mmho/cm,B,,
019-09-07-09,149,Argos,Seimac, Wildcat ,67747,N/A,N/A,B,,
019-09-07-09,149,GPS,Garmin ,16 ,N/A,N/A,N/A,B,,
019-09-07-09,149,Modem,Qualcomm, GSP 1620 ,74046B1B,N/A,N/A,B,,
019-10-27-10,150,Temperature/Humidity,Rotronic, MP101A ,133440,0-100,%,J,,
019-10-27-10,150,Current Sensor ,Aanderaa, DCS 4100R ,374,0-300,cm/s,J,,
019-10-27-10,150,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,J,,
019-10-27-10,150,Temperature/Humidity,Rotronic, MP101A ,133440,(-)30 - (+)70,deg. C,J,,
019-10-27-10,150,Barometer,Vaisala, PTB210 ,E3010001,500 - 1100,hPa,J,,
019-10-27-10,150,Anemometer ,Gill, Windsonic ,52540,0-60,m/s,J,,
019-10-27-10,150,Conductivity,Aanderaa,3919B,N/A,0 - 75,mmho/cm,J,,
019-10-27-10,150,Argos,Seimac, Wildcat ,67747,N/A,N/A,J,,
019-10-27-10,150,Modem,Qualcomm, GSP 1620 ,74046B1B,N/A,N/A,J,,
020-02-09-10,151,Temperature/Humidity,Rotronic, MP101A ,60308211,0-100,%,B,,
020-02-09-10,151,Current Sensor ,Aanderaa , DCS 4100R ,382,0-300,cm/s,B,,
020-02-09-10,151,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,B,,
020-02-09-10,151,Temperature/Humidity,Rotronic, MP101A ,60308211,(-)30 - (+)70,deg. C,B,,
020-02-09-10,151,Barometer,Vaisala, PTB210 ,D5050001,500 - 1100,hPa,B,,
020-02-09-10,151,Anemometer ,Gill, Windsonic ,071322,0-60,m/s,B,,
020-02-09-10,151,Conductivity,Aanderaa,3919B,163,0 - 75,mmho/cm,B,,
020-02-09-10,151,Argos,Seimac, Wildcat ,18199,N/A,N/A,B,,
020-02-09-10,151,GPS,Garmin,16 ,N/A,N/A,N/A,B,,
020-02-09-10,151,Modem,Qualcomm, GSP 1620 ,74046B0E,N/A,N/A,B,,
020-11-10-10,152,Temperature/Humidity,Rotronic, MP101A ,60533689,0-100,%,B,,
020-11-10-10,152,Current Sensor ,Aanderaa, DCS 4100R ,382,0-300,cm/s,B,,
020-11-10-10,152,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,B,,
020-11-10-10,152,Temperature/Humidity,Rotronic, MP101A ,60533689,(-)30 - (+)70,deg. C,B,,
020-11-10-10,152,Barometer,Vaisala, PTB210 ,F1610014,500 - 1100,hPa,B,,
020-11-10-10,152,Anemometer ,Gill, Windsonic ,071322,0-60,m/s,B,,
020-11-10-10,152,Conductivity,Aanderaa,3919B,163,0 - 75,mmho/cm,B,,
020-11-10-10,152,Argos,Seimac, Wildcat ,18199,N/A,N/A,B,,
020-11-10-10,152,GPS,Garmin,16 ,IA4013393,N/A,N/A,B,,
020-11-10-10,152,Modem,Qualcomm, GSP 1620 ,74046B0E,N/A,N/A,B,,
225M01-05-10-10,161,Humidity,Rotronics,MP101A,137137,0-100,%,K,,
225M01-05-10-10,161,Current Sensor 1,Aanderaa, DCS 4100R ,216,0-300,cm/s,K,,
225M01-05-10-10,161,Current Sensor 2,RD Instruments,N/A,N/A,0-350,cm/s,K,,
225M01-05-10-10,161,Compass 1,RM Young,32500,CI 01655,0-360,d Mag.,K,,
225M01-05-10-10,161,Compass 2,Honeywell,HMR3300,N/A,0-360,d Mag.,K,,
225M01-05-10-10,161,Air Temperature,Rotronics,MP101A,137137,(-)30 - (+)70,deg. C,K,,
225M01-05-10-10,161,Water Temperature,Sea-Bird Electronics,MicroCAT SBE-37SI,1758,(-)5 - (+)35,Deg.C,K,,
225M01-05-10-10,161,Pitch/Roll,Honeywell,HMR3300,N/A,°¿ 60,degree,K,,
225M01-05-10-10,161,Barometer,Vaisala,PTB210,A3510001,500 - 1100,hPa,K,,
225M01-05-10-10,161,Anemometer 1,RM Young,5106,95553,0-60,m/s,K,,
225M01-05-10-10,161,Anemometer 2,Gill,Windsonic,10170026,0-60,m/s,K,,
225M01-05-10-10,161,Salinity Sensor,Sea-Bird Electronics,MicroCAT SBE-37SI,1758,0 - 70,mS/cm,K,,
225M01-05-10-10,161,GPS,Garmin,16,N/A,N/A,N/A,K,,
225M01-05-10-10,161,Inertial Motion,Crossbow,IMU440CC,601001309,N/A,N/A,K,,
225M01-05-10-10,161,Inertial Motion,MicroStrain,3DM-GX1,N/A,N/A,N/A,K,,
225M01-05-10-10,161,Nutrients,Envirotech,NAS 2E,N/A,N/A,N/A,K,,
225M01-05-10-10,161,Nutrients,Satlantic,ISUS,N/A,N/A,N/A,K,,
225M01-05-10-10,161,PAR,Biospherical,QSR-2150,N/A,N/A,N/A,K,,
225M01-05-10-10,161,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,0 - 25,NTU,K,,
225M01-05-10-10,161,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,.02 - 60,¶Ãg/l,K,,
225M01-10-06-08,160,Humidity,Rotronics,MP101A,137137,0 - 100,%,K,,
225M01-10-06-08,160,Current Sensor 1,Aanderaa, DCS 4100R ,232,0-300,cm/s,K,,
225M01-10-06-08,160,Current Sensor 2,RD Instruments,N/A,N/A,0-350,cm/s,K,,
225M01-10-06-08,160,Compass 1,RM Young,32500,CI01655,0-360,d Mag.,K,,
225M01-10-06-08,160,Compass 2,Honeywell,HMR3300,N/A,0-360,d Mag.,K,,
225M01-10-06-08,160,Air Temperature,Rotronics,MP101A,137137,(-)30 - (+)70,deg.C,K,,
225M01-10-06-08,160,Water Temperature,Sea-Bird Electronics,MicroCAT SBE-37SI,39749,(-)5 - (+)35,deg.C,K,,
225M01-10-06-08,160,Pitch/Roll,Honeywell,HMR3300,30993,°¿60,degree,K,,
225M01-10-06-08,160,Barometer,Vaisala,PTB210,A3510001,500-1100,hPa,K,,
225M01-10-06-08,160,Anemometer 1,RM Young,5106,85521,0-60 ,m/s,K,,
225M01-10-06-08,160,Anemometer 2,Gill,Windsonic,31308,0-60,m/s,K,,
225M01-10-06-08,160,Salinity Sensor,Sea-Bird Electronics,MicroCAT SBE-37SI,39749,0 - 70,mS/cm,K,,
225M01-10-06-08,160,GPS,Garmin,16,N/A,N/A,N/A,K,,
225M01-10-06-08,160,Inertial Motion,Crossbow,IMU400,601001309,N/A,N/A,K,,
225M01-10-06-08,160,Inertial Motion,MicroStrain,3DM-GX1,N/A,N/A,N/A,K,,
225M01-10-06-08,160,Nutrients,Envirotech,NAS 2E,N/A,N/A,N/A,K,,
225M01-10-06-08,160,Nutrients,Satlantic,ISUS,N/A,N/A,N/A,K,,
225M01-10-06-08,160,PAR,Biospherical,QSR-2150,N/A,N/A,N/A,K,,
225M01-10-06-08,160,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,0 - 25,NTU,K,,
225M01-10-06-08,160,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,.02 - 60,¶Ãg/l,K,,
225M02-03-31-10,159,Humidity,Rotronics,MP101A,60428388,0-100,%,N,,
225M02-03-31-10,159,Current Sensor 1,Aanderaa, DCS 4100R ,138,0-300,cm/s,N,,
225M02-03-31-10,159,Current Sensor 2,RD Instruments,N/A,N/A,0-350,cm/s,N,,
225M02-03-31-10,159,Compass 1,RM Young,32500,C101787,0-360,d Mag.,N,,
225M02-03-31-10,159,Compass 2,Honeywell,HMR3300,N/A,0-360,d Mag.,N,,
225M02-03-31-10,159,Air Temperature,Rotronics,MP101A,60428388,(-)30 - (+)70,deg. C,N,,
225M02-03-31-10,159,Water Temperature,Sea-Bird Electronics,MicroCAT SBE-37SI,1528,(-)5 - (+)35,Deg.C,N,,
225M02-03-31-10,159,Pitch/Roll,Honeywell,HMR3300,N/A,°¿ 60,degree,N,,
225M02-03-31-10,159,Barometer,Vaisala,PTB210,E0920001,500 - 1100,hPa,N,,
225M02-03-31-10,159,Anemometer 1,RM Young,5106,92971,0-60,m/s,N,,
225M02-03-31-10,159,Anemometer 2,Gill,Windsonic,9090002,0-60,m/s,N,,
225M02-03-31-10,159,Salinity Sensor,Sea-Bird Electronics,MicroCAT SBE-37SI,1528,0 - 70,mS/cm,N,,
225M02-03-31-10,159,GPS,Garmin,16,N/A,N/A,N/A,N,,
225M02-03-31-10,159,Inertial Motion,Crossbow,IMU440CC,801005408,N/A,N/A,N,,
225M02-03-31-10,159,Inertial Motion,MicroStrain,3DM-GX1,unknown,N/A,N/A,N,,
225M02-03-31-10,159,Nutrients,Envirotech,NAS 2E,N/A,N/A,N/A,N,,
225M02-03-31-10,159,Nutrients,Satlantic,ISUS,N/A,N/A,N/A,N,,
225M02-03-31-10,159,PAR,Biospherical,QSR-2150,N/A,N/A,N/A,N,,
225M02-03-31-10,159,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,0 - 25,NTU,N,,
225M02-03-31-10,159,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,.02 - 60,¶Ãg/l,N,,
225M02-07-17-09,158,Humidity,Rotronics,MP101A,60308211,0-100,%,N,,
225M02-07-17-09,158,Current Sensor 1,Aanderaa, DCS 4100R ,138,0-300,cm/s,N,,
225M02-07-17-09,158,Current Sensor 2,RD Instruments,N/A,N/A,0-350,cm/s,N,,
225M02-07-17-09,158,Compass 1,RM Young,32500,01787,0-360,d Mag.,N,,
225M02-07-17-09,158,Compass 2,Honeywell,HMR3300,N/A,0-360,d Mag.,N,,
225M02-07-17-09,158,Air Temperature,Rotronics,MP101A,60308211,(-)30 - (+)70,deg. C,N,,
225M02-07-17-09,158,Water Temperature,Sea-Bird Electronics,MicroCAT SBE-37SI,1528,(-)5 - (+)35,Deg.C,N,,
225M02-07-17-09,158,Pitch/Roll,Honeywell,HMR3300,N/A,°¿ 60,degree,N,,
225M02-07-17-09,158,Barometer,Vaisala,PTB210,B1050001,500 - 1100,hPa,N,,
225M02-07-17-09,158,Anemometer 1,RM Young,5106,92971,0-60,m/s,N,,
225M02-07-17-09,158,Anemometer 2,Gill,Windsonic,09090002,0-60,m/s,N,,
225M02-07-17-09,158,Salinity Sensor,Sea-Bird Electronics,MicroCAT SBE-37SI,1528,0 - 70,mS/cm,N,,
225M02-07-17-09,158,GPS,Garmin,16,N/A,N/A,N/A,N,,
225M02-07-17-09,158,Inertial Motion,Crossbow,IMU440CC,801005408,N/A,N/A,N,,
225M02-07-17-09,158,Inertial Motion,MicroStrain,3DM-GX1,unknown,N/A,N/A,N,,
225M02-07-17-09,158,Nutrients,Envirotech,NAS 2E,N/A,N/A,N/A,N,,
225M02-07-17-09,158,Nutrients,Satlantic,ISUS,N/A,N/A,N/A,N,,
225M02-07-17-09,158,PAR,Biospherical,QSR-2150,N/A,N/A,N/A,N,,
225M02-07-17-09,158,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,0 - 25,NTU,N,,
225M02-07-17-09,158,Fluorometer/Turbidity,Wet Labs,FLNTUS,N/A,.02 - 60,¶Ãg/l,N,,
225M02-11-01-07,157,Humidity,Rotronics,MP101A,133439,0-100,%,N,,
225M02-11-01-07,157,Current Sensor 1,Aanderaa, DCS 4100R ,138,0-300,cm/s,N,,
225M02-11-01-07,157,Current Sensor 2,RD Instruments,N/A,N/A,0-350,cm/s,N,,
225M02-11-01-07,157,Compass 1,RM Young,32500,CI01148,0-360,d Mag.,N,,
225M02-11-01-07,157,Compass 2,Honeywell,HMR3300,N/A,0-360,d Mag.,N,,
225M02-11-01-07,157,Air Temperature,Rotronics,MP101A,133439,(-)30 - (+)70,deg. C,N,,
