Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
003-04-22-02,101,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1528,0 - 70,mS/cm,K,,
003-04-22-02,101,Anemometer,Gill,Wind Observer,0686,N/A,N/A,K,,
003-04-22-02,101,Compass,KVH Industries,C100-LP,SE-2502-0225,N/A,N/A,K,,
004-01-25-06,108,Current Sensor,Aanderaa,DCS 3900R,221,0 - 300,cm/sec,J,,
004-01-25-06,108,Air Temperature,R.M. Young,41342VC,5232,°¿ 50,deg. C,J,,
004-01-25-06,108,Barometer,Vaisala,PTB100A,WEF121905,600 - 1060,hPa,J,,
004-01-25-06,108,Anemometer,Gill,Wind Observer II,2082,N/A,N/A,J,,
004-01-25-06,108,Compass,KVH Industries,C100LP,97100002,N/A,N/A,J,,
004-01-29-04,106,Current Sensor,Aanderaa,DCS 3900R,221,0 - 300,cm/sec,missing,,
004-01-29-04,106,Air Temperature,R.M. Young,41342VC,unknown,°¿50,deg. C,missing,,
004-01-29-04,106,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,missing,,
004-01-29-04,106,Anemometer,Gill,Wind Observer II,547,N/A,N/A,missing,,
004-01-29-04,106,Compass,KVH Industries,C100LP,N/A,N/A,N/A,missing,,
004-02-27-02,103,Current Sensor,Aanderaa,DCS 3900R,45,0 - 300,cm/sec,B,,
004-04-10-01,102,Air Temperature,R.M. Young,41342VC,05630,°¿ 50,deg. C,J,,
004-04-10-01,102,Barometer,Vaisala,PTB100A,V4230003,600 - 1060,hPa,J,,
004-04-10-01,102,Anemometer,Gill,Wind Observer II,000106,N/A,N/A,J,,
004-04-10-01,102,Argos Antenna,MaxRad,UHF401,12972,N/A,N/A,J,,
004-04-10-01,102,Carmanah Light ,Carmanah,601,29349,N/A,N/A,J,,
004-04-10-01,102,Compass,KVH Industries,C100-LP,97100002,N/A,N/A,J,,
004-06-04-04,107,Current Sensor,Aanderaa,DCS 3900R,221,0 - 300,cm/sec,missing,,
004-06-04-04,107,Air Temperature,R.M. Young,41342VC,5018,°¿ 50,deg. C,missing,,
004-06-04-04,107,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,missing,,
004-06-04-04,107,Anemometer,Gill,Wind Observer II,547,N/A,N/A,missing,,
004-06-04-04,107,Compass,KVH Industries,C100LP,97100000,N/A,N/A,missing,,
004-08-13-02,104,Current Sensor,Aanderaa,DCS 3900R,45,0 - 300,cm/sec,J,,
004-08-13-02,104,Air Temperature,R.M. Young,41342VC,5018,°¿ 50,deg. C,J,,
004-08-13-02,104,Barometer,Vaisala,PTB100A,V4230008,600 - 1060,hPa,J,,
004-08-13-02,104,Anemometer,Gill,Wind Observer II,220,N/A,N/A,J,,
004-08-13-02,104,Compass,KVH Industries,C100LP,unknown,N/A,N/A,J,,
004-10-06-03,105,Current Sensor,Aanderaa,DCS 3900R,72,0 - 300,cm/sec,missing,,
004-10-06-03,105,Barometer,Vaisala,PTB100A,Y3230007,600 - 1060,hPa,missing,,
004-10-06-03,105,Air Temperature,R.M. Young,41342VC,7884,N/A,N/A,missing,,
004-10-06-03,105,Anemometer,Gill,Wind Observer II,549,N/A,N/A,missing,,
004-10-06-03,105,Compass,KVH Industries,C100LP,97100002,N/A,N/A,missing,,
005-02-23-06,111,Current Sensor,Aanderaa , DCS 4100R,113,0-300,cm/s,N,,
005-02-23-06,111,Air Temperature,R.M. Young,41342VC,8111,°¿ 50,deg. C,N,,
