21,B,1998-07-07,12:30:00,1998-09-22,18:00:00,28.98283,94.9162,4.53,B-1396,Flooded_cell_link
205,R,1998-07-21,11:00:00,1998-09-25,00:00:00,29.64728,93.63947,3.75,B-1286,Recovered_on_Matagorda_Island
202,P,1998-07-22,00:00:00,1998-11-25,15:00:00,29.1662,92.73652,3.22,B-1508,#NAME?
74,D,1998-08-12,19:30:00,1998-10-13,12:30:00,27.93295,96.8076,5.58,B-1523,All_data_bad._Faulty_connector_to_MMI
22,B,1998-09-23,11:30:00,1998-10-29,13:30:00,28.98283,94.9162,4.53,B-1529,-
75,D,1998-10-14,17:00:00,1999-02-18,01:00:00,27.93295,96.8076,5.58,B-1223,Bad_data_after_12/9/1998
143,J,1998-10-15,00:00:00,1999-02-17,23:30:00,26.18833,97.05067,5.73,B-1533,-
168,K,1998-10-15,02:30:00,1999-02-18,18:00:00,26.21667,96.49917,5.47,B-1492,Damaged_by_collision
109,F,1998-10-28,12:30:00,1999-04-26,00:00:00,28.836,94.2355,4.15,B-1396,-
23,B,1998-10-30,16:30:00,1999-02-14,06:30:00,28.98283,94.9162,4.53,B-1529,Serviced_and_redeployed
24,B,1999-02-15,01:30:00,1999-02-17,03:30:00,28.98283,94.9162,4.43,B-1523,System_3_TABS_II_buoy
76,D,1999-02-18,01:00:00,1999-06-07,19:30:00,27.93295,96.8076,5.5,B-1531,-
169,K,1999-02-18,18:00:00,1999-08-22,06:00:00,26.21667,96.49917,5.38,B-1509,Lost_during_Hurricane_Brett._Data_ceases_on_8/22/1
144,J,1999-02-18,23:00:00,2000-02-07,15:00:00,26.18833,97.05067,5.65,B-1536,Failed_postcruise_calibration_test._Data_ceases_af
234,S,1999-02-19,14:00:00,1999-03-23,00:00:00,28.43642,92.81115,3.22,B-1523,Recovered_on_Matagorda_Island.
25,B,1999-02-22,05:30:00,1999-02-28,14:00:00,28.98283,94.9162,4.43,B-1492,-
206,R,1999-03-01,02:30:00,1999-08-15,00:00:00,29.64728,93.63947,3.65,B-1359,-
203,P,1999-03-01,08:30:00,1999-08-15,00:00:00,29.1662,92.73652,3.12,B-1509,Failed_postcruise_calibration_test.
184,N,1999-03-01,19:00:00,1999-12-01,02:00:00,27.8892,94.03667,3.98,ADCP003,Data_ceases_after_9/12/1999
183,M,1999-03-02,00:00:00,1999-12-01,01:30:00,28.19205,94.19138,4.05,B-1508,-
26,B,1999-03-02,07:30:00,1999-04-26,00:00:00,28.98283,94.9162,4.43,Unknown,-
235,S,1999-03-23,00:00:00,1999-04-26,00:00:00,28.43642,92.81115,3.22,Unknown,-
27,B,1999-04-26,00:00:00,1999-08-15,21:00:00,28.98283,94.9162,4.43,B-1433,-
110,F,1999-04-26,00:00:00,1999-08-16,04:00:00,28.836,94.2355,4.05,B-1529,-
236,S,1999-04-26,00:00:00,1999-06-08,04:00:00,28.43642,92.81115,3.22,B-1523,-
237,S,1999-06-08,04:00:00,1999-12-14,20:00:00,28.43642,92.81115,3.22,B-1531,Recovered_on_the_beach_south_of_Corpus_Christi.
204,P,1999-08-15,00:00:00,2000-02-19,16:30:00,29.1662,92.73652,3.12,Unknown,-
207,R,1999-08-15,00:00:00,2000-02-19,09:30:00,29.64728,93.63947,3.65,B-1559,Sensor_failed_during_postcruise_calibration_test._
111,F,1999-08-16,04:00:00,1999-12-01,00:00:00,28.836,94.2355,4.05,B-1560,No_data_in_the_record
28,B,1999-08-16,04:30:00,2000-02-20,00:00:00,28.98283,94.9162,4.43,B-1558,-
77,D,1999-10-01,16:00:00,2000-02-07,00:00:00,27.93295,96.8076,5.5,B-1561,Data_stops_on_01/01/2000
112,F,1999-12-01,08:00:00,2000-02-18,00:00:00,28.836,94.2355,3.95,B-1539,-
238,S,1999-12-14,20:00:00,2000-06-04,16:00:00,28.43642,92.81115,3.1,B-1529,-
78,D,2000-02-07,00:00:00,2000-07-14,01:30:00,27.93295,96.8076,5.42,B-1531,-
145,J,2000-02-07,15:00:00,2000-04-17,00:00:00,26.18833,97.05067,5.57,B-1433,Recovered_drifting.
113,F,2000-02-18,00:00:00,2000-09-28,07:00:00,28.836,94.2355,3.95,Unknown,-.
208,R,2000-02-19,09:30:00,2000-06-02,11:30:00,29.64728,93.63947,3.53,B-1560,Buoy_lost._Last_communicated_on_4/11/2000.
