Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,"Sensor, norman",Modem_Type,Deployment_Ship,Deployment_Date,,Dep-date norman,"Dep-time,norman",Recovery_Date,,Recovery date,Recovery time,Recovery_Ship,Deployed_Days,,inclination,Comments,,,,,,,,,,,,
1996-07-17,40016-1996-07-17,174,B,40016,,B-1286,Microcom,Texas Responder,7/17/1996,,7/17/1996,0:00:00,8/7/1996,,8/7/1996,0:00:00,Texas Responder,21,,4.73,-,,,,,,,,,,,,
1996-07-25,50040-1996-07-25,216,D,50040,,B-1396,Microcom,Lone Star Responder,7/25/1996,,7/25/1996,6:00:00,8/27/1996,,8/27/1996,15:30:00,Lone Star Responder,33,,5.77,No_data_in_the_record,,,,,,,,,,,,
1996-08-07,50038-1996-08-07,200,B,50038,,Unknown,Microcom,M/V Spree,8/7/1996,,8/7/1996,0:00:00,11/12/1996,,11/12/1996,0:00:00,M/V Spree,97,,4.73,-,,,,,,,,,,,,
1996-08-07,50039-1996-08-07,232,F,50039,,B-1393,Microcom,M/V Spree,8/7/1996,,8/7/1996,13:00:00,11/12/1996,,11/12/1996,0:00:00,M/V Spree,97,,4.35,-,,,,,,,,,,,,
1996-08-14,40015-1995-08-14,168,A,40015,,B-1293,Microcom,Gulf Coast Resp,8/14/1996,,8/14/1996,0:00:00,9/11/1996,,9/11/1996,18:00:00,Gulf Coast Resp,28,,4.07,-,,,,,,,,,,,,
1996-08-27,40014-1996-08-27,211,D,40014,,B-1223,Microcom,Lone Star Responder,8/27/1996,,8/27/1996,15:30:00,1/21/1997,,1/21/1997,0:00:00,M/V Fling,147,,5.77,-,,,,,,,,,,,,
1996-09-11,50040-1996-09-11,170,A,50040,,B-1396,Microcom,Gulf Coast Resp,9/11/1996,,9/11/1996,18:00:00,10/2/1996,,10/2/1996,14:00:00,M/V Spree,21,,4.07,-,,,,,,,,,,,,
1996-10-02,40017-1996-10-02,171,A,40017,,Unknown,Microcom,M/V Spree,10/2/1996,,10/2/1996,14:00:00,3/31/1997,,3/31/1997,0:00:00,Powell,180,,4.07,-,,,,,,,,,,,,
1996-11-12,40015-1996-11-12,175,B,40015,,B-1293,Microcom,M/V Spree,11/12/1996,,11/12/1996,0:00:00,5/21/1997,,5/21/1997,0:00:00,M/V Spree,190,,4.63,-,,,,,,,,,,,,
1996-11-12,50040-1996-11-12,234,F,50040,,B-1396,Microcom,M/V Spree,11/12/1996,,11/12/1996,0:00:00,3/25/1997,,3/25/1997,13:00:00,Powell,133,,4.35,-,,,,,,,,,,,,
1997-01-21,50039-1997-01-21,214,D,50039,,B-1393,Microcom,M/V Fling,1/21/1997,,1/21/1997,0:00:00,6/25/1997,,6/24/1997,0:00:00,Lone Star Responder,155,,5.68,-,,,,,,,,,,,,
1997-03-11,40014-1997-03-11,247,G,40014,,B-1223,Microcom,Gulf Coast Resp,3/11/1997,,3/11/1997,17:30:00,5/21/1997,,5/21/1997,0:00:00,M/V Spree,71,,3.75,-,,,,,,,,,,,,
1997-03-25,50038-1997-03-25,246,F,50038,,Unknown,Microcom,Powell,3/25/1997,,3/26/1997,1:00:00,12/10/1997,,12/10/1997,11:00:00,missing,260,,4.25,Flooded_SeaPac,,,,,,,,,,,,
1997-05-21,40017-1997-05-21,199,B,40017,,B-1393,Microcom,M/V Spree,5/21/1997,,5/21/1997,0:00:00,7/23/1997,,7/18/1997,5:30:00,Texas Responder,63,,4.63,-,,,,,,,,,,,,
1997-05-21,50040-1997-05-21,250,G,50040,,B-1396,Microcom,M/V Spree,5/21/1997,,5/21/1997,0:00:00,10/27/1997,,10/27/1997,0:00:00,R/V Gyre,159,,3.75,-,,,,,,,,,,,,
1997-06-02,40015-1997-06-02,251,H,40015,,-,Microcom,M/V Spree,6/2/1997,,6/5/1997,0:00:00,10/29/1997,,10/29/1997,0:00:00,M/V Spree,149,,5.55,-,,,,,,,,,,,,
1997-06-25,40018-1997-06-25,213,D,40018,,B-1311,Microcom,Lone Star Responder,6/25/1997,,6/24/1997,0:00:00,8/20/1997,,8/20/1997,0:00:00,Lone Star Responder,56,,5.68,-,,,,,,,,,,,,
1997-07-23,50039-1997-07-23,178,B,50039,,B-1393,Microcom,Texas Responder,7/23/1997,,7/23/1997,13:30:00,2/20/1998,,2/20/1998,6:30:00,Texas Responder,212,,4.63,Serviced_and_redeployed,,,,,,,,,,,,
1997-08-20,40014-1997-08-20,210,D,40014,,B-1223,Microcom,Lone Star Responder,8/20/1997,,8/20/1997,0:00:00,11/20/1997,,11/20/1997,17:30:00,Lone Star Responder,92,,5.68,Buoy_flooded_on_10/21/1997,,,,,,,,,,,,
1997-10-27,50040-1997-10-27,249,G,50040,,B-1396,Microcom,R/V Gyre,10/27/1997,,10/27/1997,0:00:00,5/23/1998,,5/23/1998,13:00:00,R/V Gyre,208,,3.75,Badly_fouled_sensor.,,,,,,,,,,,,
1997-10-29,40018-1997-10-29,252,H,40018,,-,Microcom,M/V Spree,10/29/1997,,10/29/1997,0:00:00,8/12/1998,,6/22/1998,17:00:00,R/V Longhorn,287,,5.55,-,,,,,,,,,,,,
1997-11-20,40017-1997-11-20,229,D,40017,,Unknown,Microcom,Lone Star Responder,11/20/1997,,11/20/1997,17:30:00,12/10/1997,,12/10/1997,0:00:00,Powell,20,,5.68,Flooded_SeaPac,,,,,,,,,,,,
1997-12-10,40014-1997-12-10,209,D,40014,,B-1223,Microcom,Powell,12/10/1997,,12/10/1997,0:00:00,5/14/1998,,5/14/1998,0:00:00,Lone Star Responder,155,,5.68,-,,,,,,,,,,,,
1997-12-10,40015-1997-12-10,231,F,40015,,B-1293,Microcom,Powell,12/10/1997,,12/10/1997,11:00:00,9/22/1998,,9/22/1998,0:00:00,Texas Responder,286,,4.15,Flooded_cell_link._Data_ceases_after_9/1/1998,,,,,,,,,,,,
1998-01-20,01-1998-01-20,256,I,System 1,,B-1536,Sat,Texas Responder,1/20/1998,,1/20/1998,,2/20/1998,,2/20/1998,,Texas Responder,31,,,,,,,,,,,,,,,
1998-02-20,40016-1998-02-20,173,B,40016,,B-1286,Microcom,Texas Responder,2/20/1998,,2/20/1998,6:30:00,6/15/1998,,6/15/1998,0:00:00,R/V Gyre,115,,4.53,Recovered_drifting,,,,,,,,,,,,
1998-02-20,01-1998-02-20,255,I,System 1,,B-1536,Sat,Texas Responder,2/20/1998,,2/20/1998,,5/2/1998,,5/2/1998,,R/V Gyre,71,,,,,,,,,,,,,,,
1998-04-01,07-1998-04-01,280,N,System 7,,ADCP-016,ZyXell,R/V Gyre,4/1/1998,,4/1/1998,,4/20/1998,,4/20/1998,,R/V Gyre,19,,,,,,,,,,,,,,,
1998-04-20,06-1998-04-20,274,L,System 6,,B-1509,Sat,R/V Gyre,4/20/1998,,4/20/1998,4:00:00,10/28/1998,,10/28/1998,18:30:00,R/V Gyre,191,,4.15,-,,,,,,,,,,,,
1998-04-20,04-1998-04-20,275,M,System 4,,B-1507,ZyXell,R/V Gyre,4/20/1998,,4/20/1998,,10/28/1998,,10/28/1998,,R/V Gyre,191,,,,,,,,,,,,,,,
1998-04-20,07-1998-04-20,279,N,System 7,,ADCP-016,ZyXell,R/V Gyre,4/20/1998,,4/20/1998,,4/23/1998,,4/23/1998,,R/V Gyre,3,,,,,,,,,,,,,,,
1998-05-13,01-1998-05-13,260,J,System 1,,B-1536,Sat,Lone Star Responder,5/13/1998,,5/13/1998,16:00:00,8/11/1998,,8/11/1998,0:00:00,R/V Longhorn,90,,5.73,Hit_by_ship._Data_ceases_after_7/16/1998.,,,,,,,,,,,,
1998-05-13,03-1998-05-13,270,K,System 3,,B-1492,Sat,Lone Star Responder,5/13/1998,,5/13/1998,,8/11/1998,,8/11/1998,,R/V Longhorn,90,,,,,,,,,,,,,,,
1998-05-14,40014-1998-05-14,208,D,40014,,B-1223,Microcom ,Lone Star Responder,5/14/1998,,5/14/1998,0:00:00,8/12/1998,,8/12/1998,11:30:00,R/V Longhorn,90,,5.58,Data_suspect_after_7/1/1996?,,,,,,,,,,,,
1998-05-15,,,K,,,B-1492,,,5/15/1998,2:00:00,5/15/1998,2:00:00,8/11/1998,0:00:00,8/11/1998,0:00:00,,,5.47,5.47,Damaged_by_collision._Data_ceases_on_7/1/1998,Damaged_by_collision._Data_ceases_on_7/1/1998,26.21667,96.49917,5.47,,Damaged_by_collision._Data_ceases_on_7/1/1998,,,,,,167
1998-05-23,50039-1998-05-23,248,G,50039,,B-1293,Microcom,R/V Gyre,5/23/1998,,5/23/1998,13:00:00,6/15/1998,,6/15/1998,13:00:00,R/V Gyre,23,,3.65,Flooded_sensor.,,,,,,,,,,,,
1998-05-24,07-1998-05-24,278,N,System 7,,ADCP-003,ZyXell,R/V Gyre,5/24/1998,,5/24/1998,,10/28/1998,,10/28/1998,,R/V Gyre,157,,,,,,,,,,,,,,,
1998-06-15,50039-1998-06-15,177,B,50039,,B-1393,Microcom,R/V Gyre,6/15/1998,,6/15/1998,0:00:00,7/6/1998,,7/2/1998,0:30:00,Texas Responder,21,,4.53,-,,,,,,,,,,,,
1998-07-07,,,B,,,B-1396,,,7/7/1998,12:30:00,7/7/1998,12:30:00,9/22/1998,18:00:00,9/22/1998,18:00:00,,,4.53,4.53,Flooded_cell_link,Flooded_cell_link,28.98283,94.9162,4.53,,Flooded_cell_link,,,,,,21
1998-07-09,50040-1998-07-09,179,B,50040,,B-1396,Microcom,Texas Responder,7/9/1998,,7/9/1998,,9/22/1998,,9/22/1998,,Texas Responder,75,,,,,,,,,,,,,,,
1998-07-21,05-1998-07-21,287,P,System 5,,B-1508,Sat,R/V Gyre,7/21/1998,,7/21/1998,,11/24/1998,,11/24/1998,,R/V Gyre,126,,,,,,,,,,,,,,,
1998-07-21,40016-1998-07-21,289,R,40016,,B-1286,Microcom,R/V Gyre,7/21/1998,,7/21/1998,11:00:00,9/25/1998,,9/25/1998,0:00:00,Truck,66,,3.75,Recovered_on_Matagorda_Island,,,,,,,,,,,,
1998-07-22,,,P,,,B-1508,,,7/22/1998,0:00:00,7/22/1998,0:00:00,11/25/1998,15:00:00,11/25/1998,15:00:00,,,3.22,3.22,#NAME?,#NAME?,29.1662,92.73652,3.22,,#NAME?,,,,,,202
1998-08-12,50039-1998-08-12,217,D,50039,,B-1523,Microcom,R/V Longhorn,8/12/1998,,8/12/1998,19:30:00,10/14/1998,,10/13/1998,12:30:00,Lone Star Responder,63,,5.58,All_data_bad._Faulty_connector_to_MMI,,,,,,,,,,,,
1998-09-22,80086-1998-09-22,187,B,80086,,B-1529,Microcom,Texas Responder,9/22/1998,,9/22/1998,,10/29/1998,,10/29/1998,,R/V Gyre,37,,,,,,,,,,,,,,,
1998-09-23,,,B,,,B-1529,,,9/23/1998,11:30:00,9/23/1998,11:30:00,10/29/1998,13:30:00,10/29/1998,13:30:00,,,4.53,4.53,-,-,28.98283,94.9162,4.53,,-,,,,,,22
1998-10-14,40014-1998-10-14,207,D,40014,,B-1223,Microcom,Lone Star Responder,10/14/1998,,10/14/1998,17:00:00,2/19/1999,,2/18/1999,1:00:00,R/V Glorita,128,,5.58,Bad_data_after_12/9/1998,,,,,,,,,,,,
1998-10-14,02-1998-10-14,259,J,System 2,,B-1533,Sat,Lone Star Responder,10/14/1998,,10/14/1998,,2/18/1999,,2/18/1999,,R/V Glorita,127,,,,,,,,,,,,,,,
1998-10-14,03-1998-10-14,269,K,System 3,,B-1492,Sat,Lone Star Responder,10/14/1998,,10/14/1998,,2/18/1999,,2/18/1999,,R/V Glorita,127,,,,,,,,,,,,,,,
1998-10-15,,,J,,,B-1533,,,10/15/1998,0:00:00,10/15/1998,0:00:00,2/17/1999,23:30:00,2/17/1999,23:30:00,,,5.73,5.73,-,-,26.18833,97.05067,5.73,,-,,,,,,143
1998-10-15,,,K,,,B-1492,,,10/15/1998,2:30:00,10/15/1998,2:30:00,2/18/1999,18:00:00,2/18/1999,18:00:00,,,5.47,5.47,Damaged_by_collision,Damaged_by_collision,26.21667,96.49917,5.47,,Damaged_by_collision,,,,,,168
1998-10-28,50040-1998-10-28,233,F,50040,,B-1396,Microcom,R/V Gyre,10/28/1998,,10/28/1998,12:30:00,4/26/1999,,4/26/1999,0:00:00,R/V Gyre,180,,4.15,-,,,,,,,,,,,,
1998-10-30,80086-1998-10-29,186,B,80086,,B-1529,Microcom,R/V Gyre,10/30/1998,16:30:00,10/30/1998,16:30:00,2/14/1999,6:30:00,2/14/1999,6:30:00,R/V Glorita,111,4.53,4.53,Serviced_and_redeployed,Serviced_and_redeployed,28.98283,94.9162,4.53,,Serviced_and_redeployed,,,,,,
1999-02-15,,,B,,,B-1523,,,2/15/1999,1:30:00,2/15/1999,1:30:00,2/17/1999,3:30:00,2/17/1999,3:30:00,,,4.43,4.43,System_3_TABS_II_buoy,System_3_TABS_II_buoy,28.98283,94.9162,4.43,,System_3_TABS_II_buoy,,,,,,24
1999-02-17,50039-1999-02-17,185,B,50039,,B-1523,Motorola,R/V Glorita,2/17/1999,,2/17/1999,,2/19/1999,,2/19/1999,,R/V Glorita,2,,,,,,,,,,,,,,,
1999-02-18,,,D,,,B-1531,,,2/18/1999,1:00:00,2/18/1999,1:00:00,6/7/1999,19:30:00,6/7/1999,19:30:00,,,5.5,5.5,-,-,27.93295,96.8076,5.5,,-,,,,,,76
1999-02-18,06-1999-02-18,261,J,System 6,,B-1509,Sat,R/V Glorita,2/18/1999,,2/18/1999,18:00:00,2/7/2000,,8/22/1999,6:00:00,R/V Longhorn,354,,5.38,Lost_during_Hurricane_Brett._Data_ceases_on_8/22/1,,,,,,,,,,,,
1999-02-18,01-1999-02-18,271,K,System 1,,B-1536,Sat,R/V Glorita,2/18/1999,,2/18/1999,23:00:00,8/16/2000,,2/7/2000,15:00:00,R/V Longhorn,545,,5.65,Failed_postcruise_calibration_test._Data_ceases_af,,,,,,,,,,,,
1999-02-19,03-1999-02-19,183,B,System 3,,B-1492,Sat,R/V Glorita,2/19/1999,,2/19/1999,,2/28/1999,,2/28/1999,,R/V Gyre,9,,,,,,,,,,,,,,,
1999-02-19,40018-1999-02-19,221,D,40018,,B-1531,Motorola,R/V Glorita,2/19/1999,,2/19/1999,,6/7/1999,,6/7/1999,,R/V Longhorn,108,,,,,,,,,,,,,,,
1999-02-19,50039-1999-02-19,302,S,50039,,B-1523,Motorola,R/V Glorita,2/19/1999,,2/19/1999,14:00:00,3/23/1999,,3/23/1999,0:00:00,Truck,32,,3.22,Recovered_on_Matagorda_Island.,,,,,,,,,,,,
1999-02-22,,,B,,,B-1492,,,2/22/1999,5:30:00,2/22/1999,5:30:00,2/28/1999,14:00:00,2/28/1999,14:00:00,,,4.43,4.43,-,-,28.98283,94.9162,4.43,,-,,,,,,25
1999-02-28,40015-01-13-99,1,R,40015,,B-1539,Motorola,R/V Gyre,2/28/1999,,2/28/1999,,8/15/1999,,8/15/1999,,R/V Gyre,168,,,,,,,,,,,,,,,
1999-03-01,05-1999-03-01,276,M,System 5,,B-1359,Sat,R/V Gyre,3/1/1999,,3/1/1999,2:30:00,12/1/1999,,8/15/1999,0:00:00,R/V Gyre,275,,3.65,-,,,,,,,,,,,,
1999-03-01,40016-1999-03-01,286,P,40016,,B-1286,Motorola,R/V Gyre,3/1/1999,,3/1/1999,8:30:00,8/15/1999,,12/1/1999,0:00:00,R/V Gyre,167,,3.12,Failed_postcruise_calibration_test.,,,,,,,,,,,,
1999-03-01,07-1999-03-01,277,N,System 7,,ADCP-003,Sat,R/V Gyre,3/1/1999,,3/1/1999,19:00:00,12/1/1999,,8/15/1999,2:00:00,R/V Gyre,275,,3.98,Data_ceases_after_9/12/1999,,,,,,,,,,,,
1999-03-02,,,M,,,B-1508,,,3/2/1999,0:00:00,3/2/1999,0:00:00,12/1/1999,1:30:00,12/1/1999,1:30:00,,,4.05,4.05,-,-,28.19205,94.19138,4.05,,-,,,,,,183
1999-03-02,,,B,,,Unknown,,,3/2/1999,7:30:00,3/2/1999,7:30:00,4/26/1999,0:00:00,4/26/1999,0:00:00,,,4.43,4.43,-,-,28.98283,94.9162,4.43,,-,,,,,,26
1999-03-23,,,S,,,Unknown,,,3/23/1999,0:00:00,3/23/1999,0:00:00,4/26/1999,0:00:00,4/26/1999,0:00:00,,,3.22,3.22,-,-,28.43642,92.81115,3.22,,-,,,,,,235
1999-04-25,02-1999-04-25,182,B,System 2,,B-1433,Sat,R/V Gyre,4/25/1999,,4/25/1999,,8/14/1999,,8/14/1999,,R/V Gyre,111,,,,,,,,,,,,,,,
1999-04-26,,,B,,,B-1433,,,4/26/1999,0:00:00,4/26/1999,0:00:00,8/15/1999,21:00:00,8/15/1999,21:00:00,,,4.43,4.43,-,-,28.98283,94.9162,4.43,,-,,,,,,27
1999-04-26,80086-1999-11-12,235,F,80086,,B-1529,Motorola,R/V Gyre,4/26/1999,,4/26/1999,0:00:00,8/14/1999,,8/16/1999,4:00:00,R/V Gyre,110,,4.05,-,,,,,,,,,,,,
1999-04-26,50039-1999-04-26,301,S,50039,,B-1523,Motorola,R/V Gyre,4/26/1999,,4/26/1999,0:00:00,6/7/1999,,6/8/1999,4:00:00,R/V Longhorn,42,,3.22,-,,,,,,,,,,,,
1999-06-07,40018-1999-06-07,306,S,40018,,B-1531,Motorola,R/V Longhorn,6/7/1999,,6/7/1999,,12/14/1999,,12/14/1999,,R/V Longhorn,190,,,,,,,,,,,,,,,
1999-06-08,,,S,,,B-1531,,,6/8/1999,4:00:00,6/8/1999,4:00:00,12/14/1999,20:00:00,12/14/1999,20:00:00,,,3.22,3.22,Recovered_on_the_beach_south_of_Corpus_Christi.,Recovered_on_the_beach_south_of_Corpus_Christi.,28.43642,92.81115,3.22,,Recovered_on_the_beach_south_of_Corpus_Christi.,,,,,,237
1999-08-14,03-1999-08-14,189,B,System 3,,B-1558,Sat,R/V Gyre,8/14/1999,,8/14/1999,,2/20/2000,,2/20/2000,,R/V Gyre,190,,,,,,,,,,,,,,,
1999-08-14,50040-1999-08-14,238,F,50040,,B-1560,Motorola,R/V Gyre,8/14/1999,,8/14/1999,,12/1/1999,,12/1/1999,,R/V Gyre, ,,,,,,,,,,,,,,,
1999-08-15,40014-1999-08-15,288,P,40014,,Unknown,Motorola,R/V Gyre,8/15/1999,,8/15/1999,0:00:00,2/19/2000,,2/19/2000,16:30:00,R/V Gyre,188,,3.12,-,,,,,,,,,,,,
1999-08-15,50039-1999-08-15,291,R,50039,,B-1559,Motorola,R/V Gyre,8/15/1999,,8/15/1999,0:00:00,2/19/2000,,2/19/2000,9:30:00,R/V Gyre,188,,3.65,Sensor_failed_during_postcruise_calibration_test._,,,,,,,,,,,,
1999-08-16,,,F,,,B-1560,,,8/16/1999,4:00:00,8/16/1999,4:00:00,12/1/1999,0:00:00,12/1/1999,0:00:00,,,4.05,4.05,No_data_in_the_record,No_data_in_the_record,28.836,94.2355,4.05,,No_data_in_the_record,,,,,,111
1999-08-16,,,B,,,B-1558,,,8/16/1999,4:30:00,8/16/1999,4:30:00,2/20/2000,0:00:00,2/20/2000,0:00:00,,,4.43,4.43,-,-,28.98283,94.9162,4.43,,-,,,,,,28
1999-09-29,40016-1999-09-29,223,D,40016,,B-1561,Motorola,R/V Longhorn,9/29/1999,,9/29/1999,,2/6/2000,,2/6/2000,,R/V Longhorn,130,,,,,,,,,,,,,,,
1999-10-01,,,D,,,B-1561,,,10/1/1999,16:00:00,10/1/1999,16:00:00,2/7/2000,0:00:00,2/7/2000,0:00:00,,,5.5,5.5,Data_stops_on_01/01/2000,Data_stops_on_01/01/2000,27.93295,96.8076,5.5,,Data_stops_on_01/01/2000,,,,,,77
1999-12-01,40015-1999-12-01,236,F,40015,,B-1539,Motorola,R/V Gyre,12/1/1999,,12/1/1999,8:00:00,2/18/2000,,2/18/2000,0:00:00,R/V Gyre,79,,3.95,-,,,,,,,,,,,,
1999-12-14,80086-1999-12-14,304,S,80086,,B-1529,Motorola,R/V Longhorn,12/14/1999,,12/14/1999,20:00:00,6/2/2000,,6/4/2000,16:00:00,R/V Longhorn,171,,3.1,-,,,,,,,,,,,,
1999-12-15,04-1999-12-15,202,B2,System 4,,DCS3500,Sat,R/V Longhorn,12/15/1999,,12/15/1999,,1/13/2000,,1/13/2000,,R/V Gyre,29,,,,,,,,,,,,,,,
2000-02-06,40018-2000-02-06,220,D,40018,,B-1531,Motorola,R/V Longhorn,2/6/2000,,2/6/2000,,7/14/2000,,7/14/2000,,R/V Longhorn,159,,,,,,,,,,,,,,,
2000-02-07,,,D,,,B-1531,,,2/7/2000,0:00:00,2/7/2000,0:00:00,7/14/2000,1:30:00,7/14/2000,1:30:00,,,5.42,5.42,-,-,27.93295,96.8076,5.42,,-,,,,,,78
2000-02-07,02-2000-02-07,258,J,System 2,,B-1433,Sat,R/V Longhorn,2/7/2000,,2/7/2000,15:00:00,4/7/2000,,4/17/2000,0:00:00,R/V Longhorn,60,,5.57,Recovered_drifting.,,,,,,,,,,,,
2000-02-18,,,F,,,Unknown,,,2/18/2000,0:00:00,2/18/2000,0:00:00,9/28/2000,7:00:00,9/28/2000,7:00:00,,,3.95,3.95,-.,-.,28.836,94.2355,3.95,,-.,,,,,,113
2000-02-19,50040-2000-02-19,292,R,50040,,B-1560,Motorola,R/V Gyre,2/19/2000,,2/19/2000,9:30:00,10/8/2002,,6/2/2000,11:30:00,Truck,962,,3.53,Buoy_lost._Last_communicated_on_4/11/2000.,,,,,,,,,,,,
2000-02-20,05-1999-02-20,184,B,System 5,,B-1508,Sat,R/V Gyre,2/20/2000,,2/20/2000,0:00:00,7/2/2000,,6/2/2000,1:00:00,R/V Gyre,133,,4.33,-,,,,,,,,,,,,
2000-04-17,,,J,,,Unknown,,,4/17/2000,0:00:00,4/17/2000,0:00:00,9/25/2000,6:00:00,9/25/2000,6:00:00,,,5.57,5.57,Recovered_drifting.,Recovered_drifting.,26.18833,97.05067,5.57,,Recovered_drifting.,,,,,,146
2000-06-01,40016-2000-06-01,294,R,40016,,B-1561,Motorola,R/V Longhorn,6/1/2000,,6/1/2000,,9/7/2000,,9/7/2000,,R/V Longhorn,98,,,,,,,,,,,,,,,
2000-06-02,,,R,,,B-1561,,,6/2/2000,11:30:00,6/2/2000,11:30:00,9/8/2000,13:30:00,9/8/2000,13:30:00,,,3.53,3.53,Data_ceases_on_7/23/2000.,Data_ceases_on_7/23/2000.,29.64728,93.63947,3.53,,Data_ceases_on_7/23/2000.,,,,,,209
2000-06-02,04-2000-06-02,201,B2,System 4,,DCS3500,Sat,R/V Longhorn,6/2/2000,,6/2/2000,,11/20/2000,,11/20/2000,,R/V Gyre,171,,,,,,,,,,,,,,,
2000-06-02,,,B,,,DCS3500,,,6/2/2000,1:00:00,6/2/2000,1:00:00,11/20/2000,4:30:00,11/20/2000,4:30:00,,,4.33,4.33,Data_is_from_Buoy_B2,Data_is_from_Buoy_B2,28.98283,94.9162,4.33,,Data_is_from_Buoy_B2,,,,,,30
2000-06-04,,,S,,,Unknown,,,6/4/2000,16:00:00,6/4/2000,16:00:00,7/20/2000,0:00:00,7/20/2000,0:00:00,,,3.1,3.1,-,-,28.43642,92.81115,3.1,,-,,,,,,239
2000-07-14,40015-2000-07-14,222,D,40015,,B-1539,Motorola,R/V Longhorn,7/14/2000,,7/14/2000,1:30:00,11/30/2000,,11/30/2000,20:00:00,missing,139,,5.42,Lost_on_11/30/2000,,,,,,,,,,,,
2000-07-20,40018-2000-07-20,305,S,40018,,B-1531,Motorola,R/V Longhorn,7/20/2000,,7/20/2000,0:00:00,12/27/2000,,9/7/2000,13:00:00,R/V Longhorn,160,,3.1,Recovered_on_San_Jose_Island.,,,,,,,,,,,,
