Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
6/5/1997,,,H,,-,,,6/5/1997,0:00:00,10/29/1997,0:00:00,,,5.55,-,27.8734,96.5561,5.55,,-,,,,,,138
6/24/1997,,,D,,B-1311,,,6/24/1997,0:00:00,8/20/1997,0:00:00,,,5.68,-,27.93295,96.8076,5.68,,-,,,,,,69
7/23/1997,,,B,,B-1393,,,7/23/1997,13:30:00,2/20/1998,6:30:00,,,4.63,Serviced_and_redeployed,28.98283,94.9162,4.63,,Serviced_and_redeployed,,,,,,18
8/20/1997,,,D,,B-1223,,,8/20/1997,0:00:00,11/20/1997,17:30:00,,,5.68,Buoy_flooded_on_10/21/1997,27.93295,96.8076,5.68,,Buoy_flooded_on_10/21/1997,,,,,,70
10/27/1997,,,G,,B-1396,,,10/27/1997,0:00:00,5/23/1998,13:00:00,,,3.75,Badly_fouled_sensor.,29.56642,93.46827,3.75,,Badly_fouled_sensor.,,,,,,136
10/29/1997,,,H,,-,,,10/29/1997,0:00:00,6/22/1998,17:00:00,,,5.55,-,27.8734,96.5561,5.55,,-,,,,,,139
11/20/1997,,,D,,Unknown,,,11/20/1997,17:30:00,12/10/1997,0:00:00,,,5.68,Flooded_SeaPac,27.93295,96.8076,5.68,,Flooded_SeaPac,,,,,,71
12/10/1997,,,D,,B-1223,,,12/10/1997,0:00:00,5/14/1998,0:00:00,,,5.68,-,27.93295,96.8076,5.68,,-,,,,,,72
12/10/1997,,,F,,B-1293,,,12/10/1997,11:00:00,9/22/1998,0:00:00,,,4.15,Flooded_cell_link._Data_ceases_after_9/1/1998,28.836,94.2355,4.15,,Flooded_cell_link._Data_ceases_after_9/1/1998,,,,,,108
1/20/1998,01-1998-01-20,256,I,System 1,B-1536,Sat,Texas Responder,1/20/1998,,2/20/1998,,Texas Responder,31,,,,,,,,,,,,,
2/20/1998,,,B,,B-1286,,,2/20/1998,6:30:00,6/15/1998,0:00:00,,,4.53,Recovered_drifting,28.98283,94.9162,4.53,,Recovered_drifting,,,,,,19
2/20/1998,01-1998-02-20,255,I,System 1,B-1536,Sat,Texas Responder,2/20/1998,,5/2/1998,,R/V Gyre,71,,,,,,,,,,,,,
4/1/1998,07-1998-04-01,280,N,System 7,ADCP-016,ZyXell,R/V Gyre,4/1/1998,,4/20/1998,,R/V Gyre,19,,,,,,,,,,,,,
4/20/1998,,,L,,B-1509,,,4/20/1998,4:00:00,10/28/1998,18:30:00,,,4.15,-,28.04167,94.11667,4.15,,-,,,,,,182
4/20/1998,04-1998-04-20,275,M,System 4,B-1507,ZyXell,R/V Gyre,4/20/1998,,10/28/1998,,R/V Gyre,191,,,,,,,,,,,,,
4/20/1998,07-1998-04-20,279,N,System 7,ADCP-016,ZyXell,R/V Gyre,4/20/1998,,4/23/1998,,R/V Gyre,3,,,,,,,,,,,,,
5/13/1998,,,J,,B-1536,,,5/13/1998,16:00:00,8/11/1998,0:00:00,,,5.73,Hit_by_ship._Data_ceases_after_7/16/1998.,26.18833,97.05067,5.73,,Hit_by_ship._Data_ceases_after_7/16/1998.,,,,,,142
5/13/1998,03-1998-05-13,270,K,System 3,B-1492,Sat,Lone Star Responder,5/13/1998,,8/11/1998,,R/V Longhorn,90,,,,,,,,,,,,,
