Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
7/6/2008,,,B,,DCS352,,,7/6/2008,3:00:00,9/24/2008,15:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,50
7/6/2008,,,V,,DCS70,,,7/6/2008,17:00:00,9/27/2008,15:30:00,,,4.75,-,27.8958,93.6125,4.75,,-,,,,,,254
7/7/2008,,,J,,DCS3900,,,7/7/2008,18:30:00,10/10/2008,11:00:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,160
7/7/2008,,,K,,DCS3900,,,7/7/2008,23:00:00,10/10/2008,17:00:00,,,5.38,-,26.21667,96.49917,5.38,,-,,,,,,178
7/8/2008,,,D,,DCS-278,,,7/8/2008,13:30:00,10/9/2008,18:30:00,,,5.33,-,27.93295,96.8076,5.33,,-,,,,,,96
7/10/2008,,,W,,DCS3900R,,,7/10/2008,0:30:00,10/5/2008,18:00:00,,,3.37,Went_adrift_on_?._Recovered_on_Matagorda_Island,28.3539,96,3.37,,Went_adrift_on_?._Recovered_on_Matagorda_Island,,,,,,272
9/25/2008,,,R,,DCS3900,,,9/25/2008,6:30:00,6/19/2009,4:30:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,227
9/25/2008,,,B,,DCS352,,,9/25/2008,16:30:00,6/19/2009,0:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,51
9/26/2008,,,F,,DCS3900,,,9/26/2008,15:00:00,5/26/2009,0:00:00,,,3.83,Adrift_from_3/14/08_to_5/26/08,28.836,94.2355,3.83,,Adrift_from_3/14/08_to_5/26/08,,,,,,130
9/27/2008,005-09-09-08,113,V,System 5,DCS4100R/68,Globalstar,R/V Ferrel,9/27/2008,,3/4/2009,,R/V Brooks McCall,158,,,,,,,,,,,,,
9/27/2008,010-12-14-07,135,N,System 10,DCS/508,Globalstar,R/V Ferrel,9/27/2008,,8/12/2009,,R/V Ferrel,319,,,,,,,,,,,,,
9/28/2008,50040-07-15-08,54,F,50040,DCS4100R/64,Globalstar,R/V Ferrel,9/28/2008,,5/26/2009,,Truck,240,,,,,,,,,,,,,
9/28/2008,,,N,,DCS094,,,9/28/2008,0:00:00,8/12/2009,15:00:00,,,3.98,-,27.8892,94.03667,3.98,,-,,,,,,198
9/28/2008,,,V,,DCS70,,,9/28/2008,12:30:00,3/4/2009,12:00:00,,,4.75,Went_adrift_on_02/18/2009.,27.8958,93.6125,4.75,,Went_adrift_on_02/18/2009.,,,,,,255
10/9/2008,,,W,,DCS3900R,,,10/9/2008,14:30:00,11/20/2008,5:30:00,,,3.37,Went_adrift_on_?._Recovered_on_San_Jose_Island,28.3539,96,3.37,,Went_adrift_on_?._Recovered_on_San_Jose_Island,,,,,,273
10/9/2008,,,D,,DCS-278,,,10/9/2008,19:30:00,1/2/2009,0:00:00,,,5.33,-,27.93295,96.8076,5.33,,-,,,,,,97
10/10/2008,,,J,,DCS3900,,,10/10/2008,13:00:00,1/24/2009,4:30:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,161
10/10/2008,,,K,,DCS3900,,,10/10/2008,19:00:00,3/24/2010,17:30:00,,,5.38,-,26.21667,96.49917,5.38,,-,,,,,,179
1/23/2009,,,W,,DCS3900R,,,1/23/2009,6:00:00,8/14/2009,19:30:00,,,3.37,-,28.3539,96,3.37,,-,,,,,,274
1/23/2009,,,D,,DCS-278,,,1/23/2009,13:30:00,8/14/2009,12:00:00,,,5.33,-,27.93295,96.8076,5.33,,-,,,,,,98
1/24/2009,,,J,,DCS3900,,,1/24/2009,5:00:00,8/13/2009,20:30:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,162
6/19/2009,,,F,,DCS3900,,,6/19/2009,3:00:00,11/19/2009,2:00:00,,,3.83,-,28.836,94.2355,3.83,,-,,,,,,131
6/19/2009,,,B,,DCS352,,,6/19/2009,9:30:00,11/18/2009,21:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,52
6/19/2009,,,R,,DCS3900,,,6/19/2009,19:30:00,11/18/2009,4:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,228
8/12/2009,,,V,,DCS70,,,8/12/2009,12:30:00,12/31/2010,0:00:00,,,4.75,-,27.8958,93.6125,4.75,,-,,,,,,256
8/12/2009,,,N,,DCS094,,,8/12/2009,18:30:00,2/18/2010,15:30:00,,,3.98,-,27.8892,94.03667,3.98,,-,,,,,,199
8/13/2009,,,J,,DCS3900,,,8/13/2009,21:00:00,11/20/2009,15:00:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,163
8/14/2009,,,D,,DCS-278,,,8/14/2009,12:30:00,3/25/2010,1:00:00,,,5.33,-,27.93295,96.8076,5.33,,-,,,,,,99
8/14/2009,,,W,,DCS3900R,,,8/14/2009,20:00:00,3/24/2010,22:30:00,,,3.37,-,28.3539,96,3.37,,-,,,,,,275
11/18/2009,,,R,,DCS3900,,,11/18/2009,11:30:00,11/21/2009,16:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,229
11/18/2009,,,B,,DCS352,,,11/18/2009,22:00:00,1/5/2010,9:30:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,53
11/19/2009,,,F,,DCS3900,,,11/19/2009,3:30:00,12/31/2010,0:00:00,,,3.83,-,28.836,94.2355,3.83,,-,,,,,,132
11/20/2009,,,J,,DCS3900,,,11/20/2009,16:00:00,3/25/2010,6:30:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,164
11/21/2009,,,R,,DCS3900,,,11/21/2009,23:59:59,12/31/2010,0:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,230
12/18/2009,80086-2009-12-18,299,R,80086,DCS/66,Globalstar,R/V Ferrel,12/18/2009,,8/20/2010,,DSV Gulf Freedom,245,,,,,,,,,,,,,
1/5/2010,,,B,,DCS352,,,1/5/2010,10:00:00,2/19/2010,0:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,54
2/18/2010,,,N,,DCS094,,,2/18/2010,16:00:00,12/31/2010,0:00:00,,,3.98,-,27.8892,94.03667,3.98,,-,,,,,,200
2/19/2010,,,B,,DCS352,,,2/19/2010,2:30:00,12/31/2010,0:00:00,,,4.23,-,28.98283,94.9162,4.23,,-,,,,,,55
3/25/2010,,,K,,DCS3900,,,3/25/2010,1:30:00,12/31/2010,0:00:00,,,5.38,-,26.21667,96.49917,5.38,,-,,,,,,180
3/25/2010,,,D,,DCS-278,,,3/25/2010,5:00:00,4/12/2010,12:00:00,,,5.33,-,27.93295,96.8076,5.33,,-,,,,,,100
3/25/2010,,,J,,DCS3900,,,3/25/2010,7:00:00,12/31/2010,0:00:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,165
3/27/2010,,,W,,DCS3900R,,,3/27/2010,2:30:00,12/31/2010,0:00:00,,,3.37,-,28.3539,96,3.37,,-,,,,,,276
8/18/2010,,,R,,DCS3900,,,8/18/2010,23:59:59,12/31/2010,0:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,231
8/19/2010,,,N,,DCS094,,,8/19/2010,12:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,3.98,-,27.8892,94.03667,3.98,,-,,,,,,201
8/20/2010,008-05-06-10,125,B,System 8,DCS/209,Globalstar,DSV Gulf Freedom,8/20/2010,,1/21/2011,,R/V Brooks McCall,154,,,,,,,,,,,,,
8/20/2010,50040-04-07-10,56,F,50040,DCS4100R/65,Globalstar,DSV Gulf Freedom,8/20/2010,,5/7/2011,,R/V Ferrel,260,,,,,,,,,,,,,
8/20/2010,03-2010-08-20,316,V,225m03,DCS/137,Globalstar,DSV Gulf Freedom,8/20/2010,,5/6/2011,,R/V Ferrel,259,,,,,,,,,,,,,
10/14/2010,018-06-02-10,148,J,System 18,DCS/69,Globalstar,DSV Gulf Freedom,10/14/2010,,1/20/2011,,R/V Brooks McCall,98,,,,,,,,,,,,,
10/14/2010,,,K,,DCS3900,,,10/14/2010,23:59:59,4/20/2012,17:30:00,,,5.38,not immediately redeployed,26.21667,96.49917,5.38,,not immediately redeployed,,,,,,181
10/15/2010,0110-08-03-10,22,W,110,DCS/63,Globalstar,DSV Gulf Freedom,10/15/2010,,5/9/2011,,R/V Ferrel,206,,,,,,,,,,,,,
10/15/2010,80085-08-27-10,87,D,80085,DCS/233,Globalstar,DSV Gulf Freedom,10/15/2010,,5/7/2011,,R/V Ferrel,204,,,,,,,,,,,,,
10/20/2010,,,V,,DCS70,,,10/20/2010,23:23:59,4/19/2012,21:10:00,,,4.75,no sessions,27.8958,93.6125,4.75,,no sessions,,,,,,257
10/28/2010,,,D,,DCS-278,,,10/28/2010,5:00:00,4/12/2010,12:00:00,,,5.33,deploy_time_guess,27.93295,96.8076,5.33,,deploy_time_guess,,,,,,101
1/20/2011,019-10-27-10,150,J,System 19,DCS/374,Globalstar,R/V Brooks McCall,1/20/2011,,,,,,,,,,,,,,,,,,
1/21/2011,020-11-10-10,152,B,System 20,DCS/382,Globalstar,R/V Brooks McCall,1/21/2011,,,,,,,,,,,,,,,,,,
5/6/2011,012-11-24-10,137,V,System 12,DCS/114,Globalstar,R/V Ferrel,5/6/2011,,,,,,,,,,,,,,,,,,
5/7/2011,109-2011-05-07,227,D,109,DCS/525,Globalstar,R/V Ferrel,5/7/2011,,,,,,,,,,,,,,,,,,
5/7/2011,80085-2011-05-07,242,F,80085,DCS/233,Globalstar,R/V Ferrel,5/7/2011,,,,,,,,,,,,,,,,,,
5/7/2011,50039-2011-05-07,320,W,50039,DCS/126,Globalstar,R/V Ferrel,5/7/2011,,,,,,,,,,,,,,,,,,
5/9/2011,,,R,,DCS3900,,,5/9/2011,23:59:59,12/31/2010,0:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,232
8/26/2011,,,B,,DCS352,,,8/26/2011,2:30:00,2/23/2012,17:00:00,,,4.23,no incident,28.98283,94.9162,4.23,,no incident,,,,,,56
8/27/2011,,,J,,DCS3900,,,8/27/2011,23:59:59,4/21/2012,3:10:00,,,5.48,-,26.18833,97.05067,5.48,,-,,,,,,166
10/26/2011,,,V,,DCS70,,,10/26/2011,23:23:59,2/29/2012,2:30:00,,,4.75,2/29/2012 2:30,27.8958,93.6125,4.75,,2/29/2012 2:30,,,,,,258
10/27/2011,,,F,,DCS3900,,,10/27/2011,23:59:59,12/20/2011,7:40:00,,,3.83,recovered adrift,28.836,94.2355,3.83,,recovered adrift,,,,,,133
10/28/2011,,,D,,U,,,10/28/2011,13:00:00,12/20/2011,12:00:00,,,0,recovered adrift buoy,0,0,0,,recovered adrift buoy,,,,,,281
10/28/2011,,,W,,DCS3900R,,,10/28/2011,23:59:59,2/25/2012,5:15:00,,,3.37,28.3539,28.3539,96,3.37,,28.3539,,,,,,277
10/29/2011,,,R,,DCS3900,,,10/29/2011,16:30:00,4/23/2012,6:10:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,233
12/20/2011,,,D,,U,,,12/20/2011,12:20:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,new buoy,0,0,0,,new buoy,,,,,,280
12/20/2011,,,D,,\N,,,12/20/2011,12:20:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,\N,redeployed adrift buoy,\N,\N,\N,,redeployed adrift buoy,,,,,,295
12/21/2011,,,D,,DCS-278,,,12/21/2011,5:00:00,12/20/2011,12:00:00,,,5.33,27.93295,27.93295,96.8076,5.33,,27.93295,,,,,,102
12/21/2011,,,F,,DCS3900,,,12/21/2011,5:15:00,2/23/2012,7:15:00,,,2.83,28.863,28.863,94.2355,2.83,,28.863,,,,,,279
2/22/2012,,,V,,\N,,,2/22/2012,2:32:00,4/19/2012,21:10:00,,,\N,deployed a TABS II,\N,\N,\N,,deployed a TABS II,,,,,,288
2/22/2012,,,R003,,U,,,2/22/2012,10:40:00,2/26/2012,18:45:00,,,0,Test,0,0,0,,Test,,,,,,291
2/23/2012,,,F,,U,,,2/23/2012,14:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,,0,0,0,,,,,,,,289
2/23/2012,,,B,,U,,,2/23/2012,19:30:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,,0,0,0,,,,,,,,290
2/25/2012,,,W,,\N,,,2/25/2012,6:24:00,4/22/2012,11:30:00,,,\N,high winds,\N,\N,\N,,high winds,,,,,,294
4/19/2012,,,V,,\N,,,4/19/2012,21:30:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,\N,,\N,\N,\N,,,,,,,,300
4/21/2012,,,J,,\N,,,4/21/2012,4:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,\N,,\N,\N,\N,,,,,,,,297
4/22/2012,,,W,,\N,,,4/22/2012,12:35:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,\N,,\N,\N,\N,,,,,,,,298
4/23/2012,,,R,,\N,,,4/23/2012,6:35:00,0000-00-00 00:00:00,0000-00-00 00:00:00,,,\N,,\N,\N,\N,,,,,,,,301
0000-00-00 00:00:00,,,K,,\N,,,0000-00-00 00:00:00,0000-00-00 00:00:00,4/20/2012,22:30:00,,,\N,,\N,\N,\N,,,,,,,,302
Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
