Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,Modem_Type,Deployment_Ship,Deployment_Date,,Recovery_Date,,Recovery_Ship,Deployed_Days,,,,,,,,,,,,,
3/21/1996,50039-1996-03-21,215,D,50039,B-1393,Microcom,M/V Spree,3/21/1996,,7/25/1996,,Lone Star Responder,126,,,,,,,,,,,,,
4/2/1996,50038-1996-04-02,206,C,50038,,Microcom,M/V Spree,4/2/1996,,6/20/1996,,Texas Responder,79,,,,,,,,,,,,,
4/17/1996,40015-1996-08-14,169,A,40015,B-1293,Microcom,Gulf Coast Resp,4/17/1996,,6/14/1996,,M/V Spree,58,,,,,,,,,,,,,
5/22/1996,50040-1996-05-22,180,B,50040,B-1396,Microcom,Texas Responder,5/22/1996,,7/17/1996,,Texas Responder,56,,,,,,,,,,,,,
6/14/1996,40014-1996-06-14,166,A,40014,B-1223,Microcom ,M/V Spree,6/14/1996,,8/14/1996,,Gulf Coast Resp,61,,,,,,,,,,,,,
6/20/1996,40018-1996-06-20,204,C,40018,B-1311,Microcom,Texas Responder,6/20/1996,,3/20/1997,,Texas Responder,273,,,,,,,,,,,,,
7/17/1996,40016-1996-07-17,174,B,40016,B-1286,Microcom,Texas Responder,7/17/1996,,8/7/1996,,Texas Responder,21,,,,,,,,,,,,,
7/25/1996,50040-1996-07-25,216,D,50040,B-1396,Microcom,Lone Star Responder,7/25/1996,,8/27/1996,,Lone Star Responder,33,,,,,,,,,,,,,
8/7/1996,50038-1996-08-07,200,B,50038,,Microcom,M/V Spree,8/7/1996,,11/12/1996,,M/V Spree,97,,,,,,,,,,,,,
8/7/1996,50039-1996-08-07,232,F,50039,B-1393,Microcom,M/V Spree,8/7/1996,,11/12/1996,,M/V Spree,97,,,,,,,,,,,,,
8/14/1996,40015-1995-08-14,168,A,40015,B-1293,Microcom,Gulf Coast Resp,8/14/1996,,9/11/1996,,Gulf Coast Resp,28,,,,,,,,,,,,,
8/27/1996,40014-1996-08-27,211,D,40014,B-1223,Microcom,Lone Star Responder,8/27/1996,,1/21/1997,,M/V Fling,147,,,,,,,,,,,,,
9/11/1996,50040-1996-09-11,170,A,50040,B-1396,Microcom,Gulf Coast Resp,9/11/1996,,10/2/1996,,M/V Spree,21,,,,,,,,,,,,,
10/2/1996,40017-1996-10-02,171,A,40017,,Microcom,M/V Spree,10/2/1996,,3/31/1997,,Powell,180,,,,,,,,,,,,,
11/12/1996,40015-1996-11-12,175,B,40015,B-1293,Microcom,M/V Spree,11/12/1996,,5/21/1997,,M/V Spree,190,,,,,,,,,,,,,
11/12/1996,50040-1996-11-12,234,F,50040,B-1396,Microcom,M/V Spree,11/12/1996,,3/25/1997,,Powell,133,,,,,,,,,,,,,
1/21/1997,50039-1997-01-21,214,D,50039,B-1393,Microcom,M/V Fling,1/21/1997,,6/25/1997,,Lone Star Responder,155,,,,,,,,,,,,,
3/11/1997,40014-1997-03-11,247,G,40014,B-1223,Microcom,Gulf Coast Resp,3/11/1997,,5/21/1997,,M/V Spree,71,,,,,,,,,,,,,
3/25/1997,50038-1997-03-25,246,F,50038,,Microcom,Powell,3/25/1997,,12/10/1997,,missing,260,,,,,,,,,,,,,
5/21/1997,40017-1997-05-21,199,B,40017,,Microcom,M/V Spree,5/21/1997,,7/23/1997,,Texas Responder,63,,,,,,,,,,,,,
5/21/1997,50040-1997-05-21,250,G,50040,B-1396,Microcom,M/V Spree,5/21/1997,,10/27/1997,,R/V Gyre,159,,,,,,,,,,,,,
6/2/1997,40015-1997-06-02,251,H,40015,B-1293,Microcom,M/V Spree,6/2/1997,,10/29/1997,,M/V Spree,149,,,,,,,,,,,,,
6/25/1997,40018-1997-06-25,213,D,40018,B-1311,Microcom,Lone Star Responder,6/25/1997,,8/20/1997,,Lone Star Responder,56,,,,,,,,,,,,,
7/23/1997,50039-1997-07-23,178,B,50039,B-1393,Microcom,Texas Responder,7/23/1997,,2/20/1998,,Texas Responder,212,,,,,,,,,,,,,
8/20/1997,40014-1997-08-20,210,D,40014,B-1223,Microcom,Lone Star Responder,8/20/1997,,11/20/1997,,Lone Star Responder,92,,,,,,,,,,,,,
10/27/1997,50040-1997-10-27,249,G,50040,B-1396,Microcom,R/V Gyre,10/27/1997,,5/23/1998,,R/V Gyre,208,,,,,,,,,,,,,
10/29/1997,40018-1997-10-29,252,H,40018,B-1311,Microcom,M/V Spree,10/29/1997,,8/12/1998,,R/V Longhorn,287,,,,,,,,,,,,,
11/20/1997,40017-1997-11-20,229,D,40017,,Microcom,Lone Star Responder,11/20/1997,,12/10/1997,,Powell,20,,,,,,,,,,,,,
12/10/1997,40014-1997-12-10,209,D,40014,B-1223,Microcom,Powell,12/10/1997,,5/14/1998,,Lone Star Responder,155,,,,,,,,,,,,,
12/10/1997,40015-1997-12-10,231,F,40015,B--1293,Microcom,Powell,12/10/1997,,9/22/1998,,Texas Responder,286,,,,,,,,,,,,,
1/20/1998,01-1998-01-20,256,I,System 1,B-1536,Sat,Texas Responder,1/20/1998,,2/20/1998,,Texas Responder,31,,,,,,,,,,,,,
2/20/1998,40016-1998-02-20,173,B,40016,B-1286,Microcom,Texas Responder,2/20/1998,,6/15/1998,,R/V Gyre,115,,,,,,,,,,,,,
2/20/1998,01-1998-02-20,255,I,System 1,B-1536,Sat,Texas Responder,2/20/1998,,5/2/1998,,R/V Gyre,71,,,,,,,,,,,,,
4/1/1998,07-1998-04-01,280,N,System 7,ADCP-016,ZyXell,R/V Gyre,4/1/1998,,4/20/1998,,R/V Gyre,19,,,,,,,,,,,,,
4/20/1998,06-1998-04-20,274,L,System 6,B-1509,Sat,R/V Gyre,4/20/1998,,10/28/1998,,R/V Gyre,191,,,,,,,,,,,,,
