Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,Modem_Type,Deployment_Ship,Deployment_Date,,Recovery_Date,,Recovery_Ship,Deployed_Days,,,,,,,,,,,,,
4/20/1998,04-1998-04-20,275,M,System 4,B-1507,ZyXell,R/V Gyre,4/20/1998,,10/28/1998,,R/V Gyre,191,,,,,,,,,,,,,
4/20/1998,07-1998-04-20,279,N,System 7,ADCP-016,ZyXell,R/V Gyre,4/20/1998,,4/23/1998,,R/V Gyre,3,,,,,,,,,,,,,
5/13/1998,01-1998-05-13,260,J,System 1,B-1536,Sat,Lone Star Responder,5/13/1998,,8/11/1998,,R/V Longhorn,90,,,,,,,,,,,,,
5/13/1998,03-1998-05-13,270,K,System 3,B-1492,Sat,Lone Star Responder,5/13/1998,,8/11/1998,,R/V Longhorn,90,,,,,,,,,,,,,
5/14/1998,40014-1998-05-14,208,D,40014,B-1223,Microcom ,Lone Star Responder,5/14/1998,,8/12/1998,,R/V Longhorn,90,,,,,,,,,,,,,
5/15/1998,,,K,,B-1492,,,5/15/1998,2:00:00,8/11/1998,0:00:00,,,5.47,Damaged_by_collision._Data_ceases_on_7/1/1998,26.21667,96.49917,5.47,,Damaged_by_collision._Data_ceases_on_7/1/1998,,,,,,167
5/23/1998,50039-1998-05-23,248,G,50039,B-1393,Microcom,R/V Gyre,5/23/1998,,6/15/1998,,R/V Gyre,23,,,,,,,,,,,,,
5/24/1998,07-1998-05-24,278,N,System 7,ADCP-003,ZyXell,R/V Gyre,5/24/1998,,10/28/1998,,R/V Gyre,157,,,,,,,,,,,,,
6/15/1998,50039-1998-06-15,177,B,50039,B-1393,Microcom,R/V Gyre,6/15/1998,,7/6/1998,,Texas Responder,21,,,,,,,,,,,,,
7/7/1998,,,B,,B-1396,,,7/7/1998,12:30:00,9/22/1998,18:00:00,,,4.53,Flooded_cell_link,28.98283,94.9162,4.53,,Flooded_cell_link,,,,,,21
7/9/1998,50040-1998-07-09,179,B,50040,B-1396,Microcom,Texas Responder,7/9/1998,,9/22/1998,,Texas Responder,75,,,,,,,,,,,,,
7/21/1998,05-1998-07-21,287,P,System 5,B-1508,Sat,R/V Gyre,7/21/1998,,11/24/1998,,R/V Gyre,126,,,,,,,,,,,,,
7/21/1998,40016-1998-07-21,289,R,40016,B-1286,Microcom,R/V Gyre,7/21/1998,,9/25/1998,,Truck,66,,,,,,,,,,,,,
7/22/1998,,,P,,B-1508,,,7/22/1998,0:00:00,11/25/1998,15:00:00,,,3.22,#NAME?,29.1662,92.73652,3.22,,#NAME?,,,,,,202
8/12/1998,50039-1998-08-12,217,D,50039,B-1523,Microcom,R/V Longhorn,8/12/1998,,10/14/1998,,Lone Star Responder,63,,,,,,,,,,,,,
9/22/1998,80086-1998-09-22,187,B,80086,B-1529,Microcom,Texas Responder,9/22/1998,,10/29/1998,,R/V Gyre,37,,,,,,,,,,,,,
9/23/1998,,,B,,B-1529,,,9/23/1998,11:30:00,10/29/1998,13:30:00,,,4.53,-,28.98283,94.9162,4.53,,-,,,,,,22
10/14/1998,40014-1998-10-14,207,D,40014,B-1223,Microcom,Lone Star Responder,10/14/1998,,2/19/1999,,R/V Glorita,128,,,,,,,,,,,,,
10/14/1998,02-1998-10-14,259,J,System 2,B-1533,Sat,Lone Star Responder,10/14/1998,,2/18/1999,,R/V Glorita,127,,,,,,,,,,,,,
10/14/1998,03-1998-10-14,269,K,System 3,B-1492,Sat,Lone Star Responder,10/14/1998,,2/18/1999,,R/V Glorita,127,,,,,,,,,,,,,
10/15/1998,,,J,,B-1533,,,10/15/1998,0:00:00,2/17/1999,23:30:00,,,5.73,-,26.18833,97.05067,5.73,,-,,,,,,143
